procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 512004  19556   1608 143020    0    0     0    20 5657  711  0 14 86  0  0
 0  0 512004  20200   1608 143024    0    0     0     0 2160  466  1  5 94  0  0
 0  0 512004  18688   1616 143028    0    0     0    84 4070  605  0  8 92  1  0
 0  0 512004  18924   1616 143028    0    0     0     0 4835  638  1 11 89  0  0
 0  0 512004  18776   1616 143032    0    0     0     4 5193  611  1 11 88  0  0
 0  0 512004  19140   1616 143036    0    0     0     0 5237  685  1 11 89  0  0
 0  0 512004  19480   1616 143040    0    0     0    20 6523  782  1 13 85  0  0
 0  0 512004  19388   1624 143028    0    0     0    28 6092  684  0 15 85  0  0
 0  0 512004  19248   1624 143036    0    4     0     4 8143  909  1 15 84  0  0
 0  0 512004  19524   1624 143040    0    0     0     0 6288  638  0 11 89  0  0
 0  0 512004  19900   1624 142996   16   16    16    68 5352  719  1 12 87  1  0
 0  0 512004  19468   1624 143000    0    0     0    24 6178  684  0 13 87  0  0
 1  0 512004  18620   1632 143000    0    0     0    28 7852  929  0 19 81  0  0
 0  0 512004  19648   1632 143008    0    0     0     0 4410  578  1 11 88  0  0
 0  0 512004  19856   1632 143012    0    0     0     0 4366  534  1  9 91  0  0
 0  0 512004  20656   1632 143016    0    0     0     0 2619  438  1  6 94  0  0
 0  0 512004  19460   1632 143020    0    0     0    28 3643  732  1  6 93  0  0
 0  0 511492  19648   1632 143024  204    0   204     0 3655  535  1  8 91  1  0
 0  0 511236  18620   1640 143028  564    0   564    36 4650  889  0 15 83  1  0
 1  0 510980  13624   1764 143248  336  160  1984   160 7379 1469  0 27 72  1  0
 2  0 511492  26164   1612 130608   24  592    24   636 8072 3567  1 65 34  0  0
 0  0 511492  35356   1612 127404    0    8     0     8 6473 1957  1 25 74  0  0
 0  0 511492  35532   1612 127404    4    0     4     0 3281  453  0  7 93  0  0
 0  0 511492  35256   1620 127408    4    0     4    32 9614 1492  1 23 76  1  0
 0  0 511492  36724   1620 127412    0    0     0     0 2172  336  1  6 94  0  0
 0  0 511492  33916   1620 127412    0    0     0     0 3802  483  0 11 89  0  0
 0  0 511236  35684   1620 127416   16    0    16    20 10731 1441  1 34 65  1  0
 0  0 511236  36068   1620 127416    0    0     0     0 3388  350  0  6 94  0  0
 0  0 511236  35128   1628 127420    0    0     0    28 3904  430  1  4 95  0  0
 0  0 511236  36400   1628 127424    0    0     0     0 8673 1106  1 23 76  0  0
 0  0 511236  35440   1628 127424    0    0     0     0 2589  328  0  5 95  0  0
 0  0 511236  32940   1628 127904   48    0   500    16 3005  631  1  9 89  1  0
 0  0 511236  34056   1628 127904    0    0     0     4 9607 1149  1 30 69  0  0
 0  0 511236  32716   1636 127908   20    0    20    28 4669  491  0  8 91  1  0
 0  0 511236  34048   1636 127908    0    0     0     0 3723  464  0  8 92  0  0
 1  0 511236  34904   1636 127912   44    0    44     0 8699 1088  1 24 74  1  0
 0  0 511236  34300   1636 127916    0    0     0    20 4066  399  0  7 93  0  0
 0  0 511236  35388   1636 127916    0    0     0     0 3553  422  0  8 92  0  0
 2  0 511236  33224   1644 127916    0    0     0    32 7779  843  1 19 79  1  0
 0  0 511236  34692   1644 127924    0    0     0     0 4829  505  0 11 89  0  0
 0  0 511236  35108   1644 127924    0    0     0     0 3459  427  1 10 90  0  0
 1  0 511236  33532   1644 127928    0    0     0    16 7913  982  1 26 73  0  0
 0  0 511236  33912   1644 127928    0    0     0     0 4312  439  0  9 91  0  0
 0  0 511236  34556   1652 127928    0    0     0    28 4840  540  1 12 88  0  0
 0  0 511236  33948   1652 127936    0    0     0     4 9061 1070  1 28 72  0  0
 0  0 511236  34272   1652 127936    0    0     0     0 3647  327  0  4 96  0  0
 0  0 511236  35664   1652 127936    0    0     0    12 3890  663  1  6 93  0  0
 0  0 511236  32404   1652 127940    0    0     0     0 8918  987  0 28 72  0  0
 0  0 511236  34112   1660 127940    0    0     0    28 3412  368  0  8 92  1  0
 0  0 511236  34828   1660 127944    0    0     0     0 3397  349  1  8 92  0  0
 0  0 511236  35344   1660 127948    0    0     0     4 9603 1113  0 30 70  0  0
 0  0 511236  33724   1660 127952    0    0     0    20 4005  375  0  8 92  0  0
 0  0 511236  34744   1660 127952    0    0     0     0 5073  434  0  6 94  0  0
 0  0 511236  35032   1668 127956    0    0     0    48 11069 1054  1 30 70  0  0
 0  0 511236  31608   1668 127956    0    0     0     0 3329  378  1  6 94  0  0
 0  0 511236  33532   1668 127956    0    0     0     0 4541  394  1  7 92  0  0
 0  0 511236  32864   1668 127964    0    0     0    20 8988  855  1 23 76  0  0
 0  0 511236  35512   1668 127972    0    0     0     0 4235  425  1  9 91  0  0
 0  0 511236  35128   1676 127972    4    0     4    28 4900  483  1 10 88  1  0
 0  0 511236  34752   1676 127976    0    0     0     0 9806 1040  1 29 71  0  0
 0  0 511236  33524   1676 127980    0    0     0     0 4817  450  0 10 90  0  0
 0  0 511236  34752   1676 127980    8    0     8     0 3592  408  1  8 92  0  0
 0  0 511236  34996   1676 127988    0    0     0    20 8047  935  1 28 71  0  0
 0  0 511236  34064   1684 127980    0    0     0    36 5136  434  0  9 91  1  0
 0  0 511236  35160   1684 127992    0    0     0     0 4189  437  0  8 92  0  0
 2  0 511236  32144   1684 127996    4    0     4     0 7201  924  1 24 75  0  0
 0  0 511236  34620   1684 127996    0    0     0     0 4516  415  1  7 92  0  0
 0  0 511236  34396   1684 127996    0    0     0    16 3760  355  0  7 93  0  0
 0  0 511236  35308   1692 127992    0    0     0    32 7376  840  0 23 77  1  0
 0  0 511236  34336   1692 128004    4    0     4     0 3480  356  0  7 93  0  0
 0  0 511236  34976   1692 128004    0    0     0     0 3902  399  0  8 92  0  0
 0  0 511236  34840   1700 128056    0    0    48    32 7723  863  2 20 78  0  0
 0  0 510980  28068   1744 133716  592    0  6148   200 4093 1042  0  8 89  3  0
 1  0 510980  22544   1744 138920    0    0  4442     0 5345 1753  1 23 75  2  0
 1  0 512004  27236   1768 129180  480 1128 10943  1320 8253 3304  4 84 10  2  0
 0  0 511492  26632   1800 136208  692    0  5234     0 5532 1820  1 25 72  3  0
 0  0 511492  26452   1868 136352   96    0   228   372 4970  924  1 12 87  2  0
 0  0 511492  24544   1868 136392  184    0   208     0 9521 1153  0 25 75  1  0
 0  0 511492  25856   1868 136392  124    0   124     0 3053  444  1  5 93  1  0
 2  0 511492  14640   1824 132432   52  740    52   740 4036  876  1 17 82  0  0
 2  0 511748  16376   1692 131084  140 1716 10464  1900 8084 3531  2 60 36  1  0
 0  0 512260  24764   1508 126808  264 1740  5480  1772 5859 5757  1 70 26  3  0
 0  0 512260  34584   1512 124112    0  420   116   456 7959 5385  1 44 55  1  0
 0  0 512260  35020   1680 124236  748    0  1072     0 5469 4652  2 31 66  2  0
 0  0 512260  39132   1680 124252    0    0     0     0 6296 1395  0 19 81  0  0
 0  0 512260  33828   1680 124260    0    0     0     0 10078 3227  2 42 56  0  0
 0  0 512260  39880   1688 124252    0    0     0    28 5951 1150  1 15 84  1  0
 0  0 512260  40016   1708 124244   20    0    40     0 3580  634  0  7 92  1  0
 0  0 512260  40668   1708 124264   24    0    24     4 3918  814  0 11 89  0  0
 4  0 512260  38540   1708 124264    0    0     0     0 4683  741  1 11 89  0  0
 1  0 512260  36096   1708 124272    0    0     0     0 11495 2695  2 44 54  0  0
 0  0 512260  34844   2372 126472  652    0  3524     0 2202 1103  1  5 91  3  0
 0  0 512260  34360   2380 126484    0    0     0    36 5425  639  0  9 90  1  0
 0  0 512260  34152   2380 126488    0    0     0     0 5593  596  0 12 88  0  0
 1  0 512260  30964   2380 126492    8    0     8     4 5923 1159  1 19 80  0  0
 0  0 512260  35392   2380 126496   40    0    40     0 6947 1477  1 30 69  1  0
 0  0 512260  35448   2380 126500    0    0     0     0 1113  229  0  2 98  0  0
 0  0 512260  35500   2388 126500    0    0     0    16 3959  549  0 10 90  0  0
 0  0 512260  35964   2388 126500    0    0     0     0 3785  448  0  8 92  0  0
 0  0 512260  35824   2388 126504    0    0     0     0 8116 1143  1 21 78  0  0
 0  0 512260  36296   2388 126512    0    0     0     4 8201 2169  1 41 58  0  0
 0  0 512260  36256   2388 126512    0    0     0     0 1888  339  1  5 95  0  0
 0  0 512260  37324   2396 126516   36    0    36    16 2850  498  1  5 93  1  0
 0  0 512260  35744   2396 126516    0    0     0     0 3229  409  0  7 93  0  0
 0  0 512260  20528   2396 126520    0    0     0     0 9086 2062  2 30 68  0  0
 0  0 512516  22972   2396 125824    4  116     4   116 6013 4035  1 31 68  0  0
 1  0 512516  28948   2396 125828    0    0     0     4 4926 1219  1 23 77  0  0
 0  0 512004  30936   2612 131036  592    0  7387   160 4570 2457  1 35 61  3  0
 0  0 512004  30336   2612 130988   12    0    12     0 3509  386  0  5 95  1  0
 3  0 512004  18948   2612 130896   28  196   150   196 8586 2120  2 45 53  0  0
 0  0 512004  29804   2612 130892   12    0    12     0 4979  857  0 19 81  0  0
 0  0 512004  31860   2612 130892    0    0     0     0 3888  432  0  7 93  0  0
 0  0 512004  31620   2620 130900    0    0     0    40 1772  314  0  3 96  1  0
 1  0 512004  24248   2620 130900    0    0     0    96 4206  613  1 11 88  0  0
 0  0 512004  30512   2620 130908    0    0     0     0 11085 1864  1 45 54  0  0
 0  0 512004  29632   2620 130908    0    0    48     0 1822  263  0  4 96  1  0
 0  0 512004  27920   2620 130960    0    0     0     0 4155  516  0  6 94  0  0
 0  0 512004  31288   2628 130952    0    0     0    28 3322  451  1  6 94  0  0
 2  0 512004  17428   2628 130960    0    0     0    24 7018 1182  0 21 79  0  0
 0  0 512260  22956   2616 127720    0  948     0  1092 9319 6248  2 42 57  0  0
 0  0 512260  24904   2612 127460    4   60     4    60 1138  369  0  0 99  1  0
 0  0 512260  18832   2608 127512   64   24   112    24 2020  635  0  5 94  1  0
 0  0 512260  25244   2604 127512   40   24    84    24 6741 1686  1 30 69  0  0
 1  0 512260  23276   2612 127516    0    0     0    28 11108 1469  1 31 68  1  0
 0  0 512516  36640   2544 126868    8  172     8   172 9422 2141  1 42 57  1  0
 0  0 512516  32012   2544 130236  268    0  3636    24 3406  764  1  8 90  2  0
 0  0 512516  29808   2688 130200    0    0   144     0 3910  564  0 13 87  0  0
 0  0 512516  30672   2688 130240    4    0     4     0 1815  270  0  3 97  0  0
 6  0 512772  18612   2696 129512    8  652     8   680 9756 2194  2 46 52  1  0
 0  0 512772  32588   2692 129336    0  116     0   116 3761  630  0 14 86  0  0
 0  0 512772  34488   2692 129336    0    0     0    20 3641  504  0  7 93  0  0
 0  0 512772  33528   2692 129336    0    0     0     4 3601  446  0  8 92  0  0
 1  0 512772  27756   2692 129340    0    0     0     0 6262  826  1 17 83  0  0
 0  0 512772  32568   2700 129348    0    0     0    28 6580  979  1 18 82  0  0
 1  0 512772  28296   2700 129348    0    0     0     0 1374  312  0  5 95  0  0
 0  0 512772  32612   2700 129348    4    0     4    16 3263  451  1  7 92  1  0
 0  0 512772  32520   2700 129348    0    0     0     0 3200  343  0  5 95  0  0
10  0 512772  21276   2684 128976   28  192    28   196 9071 2101  1 42 57  1  0
 0  0 512772  34680   2692 128904    4   24     4    52 5895 1219  0 26 73  1  0
 0  0 512772  32748   2692 128908    4    0     4     0 6748  920  1 17 82  0  0
 0  0 512772  35548   2708 130268   40    0  1273   164 8675 1506  1 31 68  1  0
 1  0 512772  31924   2708 130272    0    0     0     0 9856 1205  1 29 71  0  0
 0  0 512772  23548   2708 130276    0    0     0     0 7955 1128  0 29 71  0  0
 0  0 512772  34984   2708 130280    0    0     0     4 6085  784  1 18 81  0  0
 0  0 512772  34968   2708 130284    0    0     0     0 7028  871  1 19 80  0  0
 1  0 512772  27328   2716 130288    0    0     0    64 6914  895  1 24 74  1  0
 0  0 512772  29244   2716 130292    0    0     0     0 8560  928  0 29 71  0  0
 0  0 512772  28612   2716 130296    0    0     0     0 7398  738  1 19 81  0  0
 2  0 512772  25496   2716 130300    0    0     0     0 9143  968  1 28 71  0  0
 0  0 512772  34460   2716 130308    0    0     0     4 8236  999  1 30 70  0  0
 0  0 512772  34344   2724 130308    0    0     0    52 4249  583  1  9 90  1  0
 0  0 512516  34564   2724 130312  156    0   156     0 6812  921  2 19 79  1  0
 0  0 512516  33240   2724 130328   68    0    76     0 8801 1149  1 26 73  1  0
 0  0 512516  32840   2724 130332    0    0     0    16 7951  811  0 20 80  0  0
 0  0 512516  28844   2724 130332    0    0     0     0 7965  808  1 20 79  0  0
 1  0 512516  30424   2732 130336    0    0     0    84 9474  958  1 28 71  1  0
 0  0 512516  34232   2732 130340   16    0    16     0 9088  971  2 23 74  1  0
 0  0 512516  33864   2732 130348    0    0     0     0 8191  833  1 22 77  0  0
 1  0 512516  24596   2732 130348    0    0     0     0 6482  672  1 15 84  0  0
 0  0 512516  33228   2732 130352    0    0     0     0 8434  811  1 22 77  0  0
 0  0 512516  31372   2740 130356    8    0     8    28 6970  731  1 16 84  0  0
 0  0 512516  33680   2740 130360    0    0     0    28 6492  721  1 16 83  0  0
 0  0 512516  31208   2740 130368    0    0     0     0 6360  702  2 13 85  0  0
 0  0 512516  33692   2740 130376    0    0     0     0 9023  841  1 22 77  0  0
 0  0 512516  32668   2740 130376    0    0     0     0 10151  960  1 27 72  0  0
 1  0 512516  30020   2748 130384    0    0     0    28 8341  885  1 23 76  1  0
 0  0 512516  34716   2748 130384    0    0     0    24 8836  882  1 23 76  0  0
 0  0 512516  29464   2748 130340    0   80     0    88 8409 1143  1 31 68  0  0
 0  0 512516  29944   2748 130360    0    0     0     0 5584  580  0 13 87  0  0
 1  0 512516  31156   2748 130364    0    0     0     0 8684  745  1 19 81  0  0
 1  0 512516  31824   2760 130356    0    0     4    44 8581  728  1 17 82  1  0
 2  0 512516  29980   2760 130376    4    0     4    24 9053  948  1 28 72  0  0
 0  0 512516  33484   2760 130376    0    0     0     0 6268  656  0 13 87  0  0
 0  0 512516  33848   2760 130384    0    0     0     4 8235  864  2 22 77  0  0
 0  0 512516  34012   2760 130388    0    0     0    96 7906  994  1 27 72  1  0
 0  0 512516  33520   2768 130380    0    0     0    52 7879  928  0 21 79  0  0
 0  0 512516  34040   2768 130392    0    0     0    24 7194  925  0 16 84  0  0
 0  0 512516  34020   2768 130400    0    0     0     0 6449  846  1 21 79  0  0
 1  0 512516  26084   2768 130404    0    0     0     0 7465  937  1 24 76  0  0
 0  0 512516  34728   2768 130404    0    0     0    44 8319  985  0 27 73  0  0
 0  0 512516  32492   2776 130408    0    0     0    28 6767  742  1 18 81  1  0
 2  0 512516  28996   2776 130416    0    0     0    28 6284  662  1 17 82  0  0
 0  0 512516  29412   2776 130420    0    0     0     0 7959  934  1 23 77  0  0
 1  0 512516  24380   2776 130424    0    0     0     0 5770  642  1 17 83  0  0
 0  0 512516  29332   2776 130428    0    0     0     0 8181  891  0 23 77  0  0
 0  0 512516  34152   2784 130432   20    0    20    48 7738  943  1 26 73  1  0
 0  0 512516  33908   2784 130436    0    0     0    24 8277  776  1 17 82  0  0
 0  0 512516  34836   2784 130440    0    0     0     0 6527  722  1 21 78  0  0
 0  0 512516  35068   2784 130444    0    0     0     0 8315  918  1 24 75  0  0
 0  0 512516  33796   2784 130448    0    0     0     0 7241  822  1 23 76  0  0
 0  0 512516  31700   2792 130444    0    0     0    28 8566  940  1 26 73  1  0
 1  0 512516  32412   2792 130456    0    0     0    28 8431  944  1 27 73  0  0
 0  0 512516  33636   2792 130460    0    0     0     0 8216  892  0 29 71  0  0
 1  0 512516  29420   2792 130464    8    0     8     0 8426  831  1 22 77  0  0
 0  0 512516  28508   2792 130468    0    0     0     0 9390  866  1 24 76  0  0
 0  0 512516  26576   2800 130464    0    0     0    28 6940  712  2 15 83  1  0
 0  0 512516  26000   2800 130476    0    0     0    24 8516  912  1 25 74  0  0
 1  0 512516  33728   2800 130480    0    0     0     4 7072 1082  1 21 78  0  0
 1  0 512516  31764   2800 130484    0    0     0     0 8616  883  1 22 77  0  0
 0  0 512516  33720   2800 130488    0    0     0     0 8426  837  1 23 76  0  0
 0  0 512516  35348   2800 130492    0    0     0     0 3069  431  0 10 90  0  0
 0  0 512516  35224   2808 130492    0    0     0    48  306   75  0  0 100  0  0
